KEY,vi,en
H_Home,Trang chủ,Home
H_UserName,Tài khoản,UserName
H_Course,Bài học,Course
H_Training,Luyện tập,Training
H_Newsfeed,Tin mới,News Feed
H_Profile,Hồ Sơ,Profile
H_Support,Hỗ Trợ,Support
H_Settings,Cài Đặt,Settings
H_Logout,Đăng xuất,Logout
H_LogoutConfirm,Bạn có muốn đăng xuất ?, Do you want to logout ?
H_CONTINUE,TIẾP TỤC,CONTINUE
H_STARTOVER,CHƠI LẠI,START OVER
H_LESSONS_DONE,BÀI HOÀN THÀNH,LESSONS DONE
H_AVERAGE_SCORE,ĐIỂM TRUNG BÌNH,AVERAGE SCORE
H_IN_WAITING,ĐANG ĐỢI,IN WAITING
H_PATIENT_SAVED,NGƯỜI ĐÃ CHỮA,PATIENT(S) SAVED
H_Hi,Chào,Hi
H_Course_note,Học và kiểm tra về cuộc phỏng vấn nhằm tạo động lực của Tiến sĩ Pathak.,Learn and be tested about Dr Pathak motivational interview.
H_Training_note,Thực hành kỹ năng phỏng vấn nhằm tạo động lực với bệnh nhân của bạn.,Practice your skills of motivational interview with patients.
